cell,epoch,sweep,current,firing_rate,firing_duration,Rs,Rm,Vm,temperature,spike_width,spike_trough
01168501,4,15,43.44147491455078,0.5,0.047799999999999995,26.309364038679004,199.33237135410306,-84.0126828287661,27.75806999206543,1.12,46.68
01168501,5,0,-1.492469310760498,,,24.005915066025548,200.30695199966428,-83.90668516344357,27.729881286621094,,
01168501,5,1,3.431363344192505,0.0,,19.324000647879917,194.32625174522397,-83.5908985141453,27.729267120361328,,
01168501,5,2,8.428235054016113,0.0,,21.565658627344057,207.0907801389694,-83.28638716204513,27.756635665893555,,
01168501,5,3,13.40114974975586,0.0,,18.433725495713464,200.73336362838742,-83.940228528966,27.761638641357422,,
01168501,5,4,18.434852600097656,0.0,,22.274089398196477,211.06864511966702,-83.07629547852383,27.73685073852539,,
01168501,5,5,23.527084350585938,0.5,0.04868,16.323285922035765,194.72104310989377,-84.20763278372326,27.731361389160156,1.12,47.56
01168501,5,6,28.382272720336914,0.0,,17.477794508290483,188.15335631370542,-84.38740838873227,27.70700454711914,,
01168501,5,7,33.4646110534668,0.0,,23.243680210447135,192.83238053321836,-84.5132407335757,27.73979377746582,,
01168501,5,8,38.41853713989258,0.0,,25.38609221134317,204.33819293975827,-84.2313695495635,27.69525718688965,,
01168501,5,9,43.454864501953125,0.0,,15.244850732592745,200.8637487888336,-84.38946711777291,27.68401336669922,,
01168501,5,10,48.48984909057617,0.0,,16.101144108406473,193.7856078147888,-84.95140021261422,27.675338745117188,,
01168501,5,11,53.48366165161133,1.0,1.2148400000000001,22.90564595465939,172.73919284343717,-84.9130072269005,27.66352081298828,1.18,99.94
01168501,5,12,58.51213836669922,1.5,0.40754,19.54669581349636,212.04885840415952,-84.42876391848938,27.653810501098633,1.12,51.0
01168501,5,13,63.42003631591797,2.5,1.8035,22.011786614907102,192.74136424064633,-85.18598160655503,27.64499282836914,1.1400000000000001,24.54
01168501,5,14,68.29595947265625,2.0,1.8181800000000004,18.802373485766026,192.13292002677915,-85.03274899822773,27.629199981689453,1.12,22.6
01168501,5,15,73.4203872680664,2.5,1.0882,26.760019235096795,175.8519113063812,-85.45639506528816,27.637601852416992,1.16,16.1
01168501,6,0,-1.51564621925354,,,19.019122570052353,199.18653368949887,-84.7223340345069,27.668846130371094,,
01168501,6,1,4.400077819824219,0.0,,20.24540071370789,202.77720689773557,-85.00593124531858,27.63054084777832,1.16,3.66
01168501,6,2,10.473918914794922,0.0,,21.998790269379175,181.1413466930389,-85.63981916228767,27.620723724365234,,
01168501,6,3,16.4997615814209,0.0,,19.81707505879145,196.7469900846481,-84.89666331245103,27.617311477661133,,
