cell,epoch,condition
2a3429fa-d50f-45c8-847f-54f9a5b709ed,12,pr
909f1dd2-77c2-4121-acce-7f8e21673182,2,pr
909f1dd2-77c2-4121-acce-7f8e21673182,3,pr
21bb5fd6-28b8-42a9-a1eb-0dd4b4ac327d,2,pr
21bb5fd6-28b8-42a9-a1eb-0dd4b4ac327d,3,pr
21bb5fd6-28b8-42a9-a1eb-0dd4b4ac327d,4,pr
21bb5fd6-28b8-42a9-a1eb-0dd4b4ac327d,5,pr
21bb5fd6-28b8-42a9-a1eb-0dd4b4ac327d,6,pr
21bb5fd6-28b8-42a9-a1eb-0dd4b4ac327d,7,pr
0e40048d-a1f4-4eeb-b5bd-4e3bc3eb0e0a,13,pr
0e40048d-a1f4-4eeb-b5bd-4e3bc3eb0e0a,14,pr
0e40048d-a1f4-4eeb-b5bd-4e3bc3eb0e0a,15,pr
0e40048d-a1f4-4eeb-b5bd-4e3bc3eb0e0a,17,pr
0e40048d-a1f4-4eeb-b5bd-4e3bc3eb0e0a,18,pr
0e40048d-a1f4-4eeb-b5bd-4e3bc3eb0e0a,19,pr
0e40048d-a1f4-4eeb-b5bd-4e3bc3eb0e0a,20,pr
9685c886-42f9-4af8-98fd-fafadb80c0eb,2,pr
9685c886-42f9-4af8-98fd-fafadb80c0eb,3,pr
9685c886-42f9-4af8-98fd-fafadb80c0eb,4,pr
9685c886-42f9-4af8-98fd-fafadb80c0eb,5,pr
7ec898b6-b3fc-4ee0-a51f-037e724bec62,7,bapta
7ec898b6-b3fc-4ee0-a51f-037e724bec62,8,bapta
7ec898b6-b3fc-4ee0-a51f-037e724bec62,9,bapta
7ec898b6-b3fc-4ee0-a51f-037e724bec62,10,bapta
7ec898b6-b3fc-4ee0-a51f-037e724bec62,12,bapta
7ec898b6-b3fc-4ee0-a51f-037e724bec62,13,bapta
7ec898b6-b3fc-4ee0-a51f-037e724bec62,14,bapta
7ec898b6-b3fc-4ee0-a51f-037e724bec62,15,bapta
b66b6680-855e-40db-8acf-5429d336aac6,5,bapta
b66b6680-855e-40db-8acf-5429d336aac6,6,bapta
b66b6680-855e-40db-8acf-5429d336aac6,7,bapta
b66b6680-855e-40db-8acf-5429d336aac6,9,bapta
b66b6680-855e-40db-8acf-5429d336aac6,10,bapta
7a4204e9-a569-4a1d-ab98-4faca38cd2ab,2,pr
7a4204e9-a569-4a1d-ab98-4faca38cd2ab,3,pr
dfb1d6e1-6a91-4a25-96e0-26cad3adda40,2,pr
dfb1d6e1-6a91-4a25-96e0-26cad3adda40,3,pr
dfb1d6e1-6a91-4a25-96e0-26cad3adda40,4,pr
dfb1d6e1-6a91-4a25-96e0-26cad3adda40,5,pr
dfb1d6e1-6a91-4a25-96e0-26cad3adda40,6,pr
dfb1d6e1-6a91-4a25-96e0-26cad3adda40,7,pr
dfb1d6e1-6a91-4a25-96e0-26cad3adda40,8,pr
dfb1d6e1-6a91-4a25-96e0-26cad3adda40,9,pr
dfb1d6e1-6a91-4a25-96e0-26cad3adda40,10,pr
dfb1d6e1-6a91-4a25-96e0-26cad3adda40,11,pr
dfb1d6e1-6a91-4a25-96e0-26cad3adda40,12,pr
